Threshold,Accuracy,Macro_AUROC,Macro_PR_AUC,Precision,Recall,Micro_F1,Macro_F1
0.05,0.08935015684663981,0.8068305859193524,0.2916803503187153,0.08935015684663983,1.0,0.1640430421477759,0.14309669574818593
0.1,0.09087056438576409,0.8068305859193524,0.2916803503187153,0.08938420289572856,1.0,0.1642723172509629,0.1431617662248653
0.15000000000000002,0.11375968822907473,0.8068305859193524,0.2916803503187153,0.08998762640123993,0.9997554756493322,0.167789420134074,0.14430670404774223
0.2,0.1757468783586589,0.8068305859193524,0.2916803503187153,0.09216455018029375,0.9950107924969689,0.17795923347073228,0.14837646261409085
0.25,0.27782826385187387,0.8068305859193524,0.2916803503187153,0.09705598421640757,0.9749722559760291,0.1973048439966007,0.15726991423723327
0.3,0.4315641847906818,0.8068305859193524,0.2916803503187153,0.10821005390149806,0.9200881688968392,0.23510114816839803,0.17654342466245723
0.35000000000000003,0.5963317983625036,0.8068305859193524,0.2916803503187153,0.13013567170437298,0.8269415458751824,0.2944114367754647,0.210918933059518
0.4,0.7205595798781926,0.8068305859193524,0.2916803503187153,0.16520710375942507,0.7117928571209476,0.3604895314655948,0.2560131590724681
0.45,0.8037625717606145,0.8068305859193524,0.2916803503187153,0.21447950669080984,0.5951801331595988,0.4198698078115313,0.29938329709056416
0.5,0.8626652569401362,0.8068305859193524,0.2916803503187153,0.27225473750836665,0.471403113139139,0.47045148247978436,0.3215978405632526
