Metric,Value
Accuracy,0.9008021460465035
Macro AUROC,0.8068305859193524
Macro PR-AUC,0.2916803503187153
Precision,0.32277698072220234
Recall,0.410914248954328
Micro F1,0.524930429142343
Macro F1,0.35589853063740046
